"S01F1","S01F2","S01F3","S01F4","S01F5","S01F6","S01F7","S02F1","S02F2","S02F3","S02F4","S02F5","S02F6","S02F7","S03F1","S03F2","S03F3","S03F4","S03F5","S03F6","S03F7","S04F1","S04F2","S04F3","S04F4","S04F5","S04F6","S04F7","S05F1","S05F2","S05F3","S05F4","S05F5","S05F6","S05F7","S06F1","S06F2","S06F3","S06F4","S06F5","S06F6","S06F7","S07F1","S07F2","S07F3","S07F4","S07F5","S07F6","S07F7","S08F1","S08F2","S08F3","S08F4","S08F5","S08F6","S08F7","S09F1","S09F2","S09F3","S09F4","S09F5","S09F6","S09F7","S10F1","S10F2","S10F3","S10F4","S10F5","S10F6","S10F7","S11F1","S11F2","S11F3","S11F4","S11F5","S11F6","S11F7","S12F1","S12F2","S12F3","S12F4","S12F5","S12F6","S12F7","S13F1","S13F2","S13F3","S13F4","S13F5","S13F6","S13F7","S14F1","S14F2","S14F3","S14F4","S14F5","S14F6","S14F7","S15F1","S15F2","S15F3","S15F4","S15F5","S15F6","S15F7","S16F1","S16F2","S16F3","S16F4","S16F5","S16F6","S16F7","S17F1","S17F2","S17F3","S17F4","S17F5","S17F6","S17F7","S18F1","S18F2","S18F3","S18F4","S18F5","S18F6","S18F7","S01F1 (#1)","S01F2 (#1)","S01F3 (#1)","S01F4 (#1)","S01F5 (#1)","S01F6 (#1)","S01F7 (#1)","S02F1 (#1)","S02F2 (#1)","S02F3 (#1)","S02F4 (#1)","S02F5 (#1)","S02F6 (#1)","S02F7 (#1)","S03F1 (#1)","S03F2 (#1)","S03F3 (#1)","S03F4 (#1)","S03F5 (#1)","S03F6 (#1)","S03F7 (#1)","S04F1 (#1)","S04F2 (#1)","S04F3 (#1)","S04F4 (#1)","S04F5 (#1)","S04F6 (#1)","S04F7 (#1)","S05F1 (#1)","S05F2 (#1)","S05F3 (#1)","S05F4 (#1)","S05F5 (#1)","S05F6 (#1)","S05F7 (#1)","S06F1 (#1)","S06F2 (#1)","S06F3 (#1)","S06F4 (#1)","S06F5 (#1)","S06F6 (#1)","S06F7 (#1)","S07F1 (#1)","S07F2 (#1)","S07F3 (#1)","S07F4 (#1)","S07F5 (#1)","S07F6 (#1)","S07F7 (#1)","S08F1 (#1)","S08F2 (#1)","S08F3 (#1)","S08F4 (#1)","S08F5 (#1)","S08F6 (#1)","S08F7 (#1)","S09F1 (#1)","S09F2 (#1)","S09F3 (#1)","S09F4 (#1)","S09F5 (#1)","S09F6 (#1)","S09F7 (#1)","S10F1 (#1)","S10F2 (#1)","S10F3 (#1)","S10F4 (#1)","S10F5 (#1)","S10F6 (#1)","S10F7 (#1)","S11F1 (#1)","S11F2 (#1)","S11F3 (#1)","S11F4 (#1)","S11F5 (#1)","S11F6 (#1)","S11F7 (#1)","S12F1 (#1)","S12F2 (#1)","S12F3 (#1)","S12F4 (#1)","S12F5 (#1)","S12F6 (#1)","S12F7 (#1)","S13F1 (#1)","S13F2 (#1)","S13F3 (#1)","S13F4 (#1)","S13F5 (#1)","S13F6 (#1)","S13F7 (#1)","S14F1 (#1)","S14F2 (#1)","S14F3 (#1)","S14F4 (#1)","S14F5 (#1)","S14F6 (#1)","S14F7 (#1)","S15F1 (#1)","S15F2 (#1)","S15F3 (#1)","S15F4 (#1)","S15F5 (#1)","S15F6 (#1)","S15F7 (#1)","S16F1 (#1)","S16F2 (#1)","S16F3 (#1)","S16F4 (#1)","S16F5 (#1)","S16F6 (#1)","S16F7 (#1)","S17F1 (#1)","S17F2 (#1)","S17F3 (#1)","S17F4 (#1)","S17F5 (#1)","S17F6 (#1)","S17F7 (#1)","S18F1 (#1)","S18F2 (#1)","S18F3 (#1)","S18F4 (#1)","S18F5 (#1)","S18F6 (#1)","S18F7 (#1)","ID",1,10,100,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99,winner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,3,90.86,16.57,-2.23,15.03,0.92,0.71,4,128,26.84,1.26,11.79,0.94,0.75,3,103.6,6.15,2,13.93,0.94,0.73,4,119.86,21.05,0.38,2.37,0.96,0.74,3,140.19,5.86,-3.92,9.9,0.98,0.76,5,113.46,17.45,-9.39,3.51,0.95,0.71,3,119.21,21.52,8.76,2,0.95,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.004,0.015,0.007,0.003,0.010,0.007,0.004,0.008,0.008,0.003,0.011,0.017,0.007,0.007,0.005,0.117,0.009,0.004,0.007,0.009,0.012,0.003,0.009,0.004,0.004,0.007,0.007,0.011,0.005,0.004,0.007,0.006,0.008,0.007,0.005,0.011,0.009,0.006,0.020,0.005,0.006,0.010,0.006,0.006,0.007,0.002,0.005,0.007,0.008,0.009,0.015,0.008,0.008,0.006,0.004,0.008,0.006,0.006,0.011,0.005,0.009,0.007,0.006,0.008,0.005,0.004,0.004,0.007,0.007,0.005,0.007,0.008,0.007,0.005,0.006,0.005,0.008,0.008,0.006,0.008,0.006,0.003,0.008,0.009,0.007,0.003,0.007,0.007,0.009,0.008,0.014,0.015,0.008,0.011,0.005,0.010,0.014,0.005,0.007,0.004,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,96.69,6.89,1.16,8.84,0.98,0.7,3,130.26,41.78,5.51,6.47,0.98,0.75,0,0,0,0,0,0,0,2,117.2,23.93,3.37,0.93,0.93,0.75,3,123.31,7.4,-4.14,7.34,0.94,0.71,3,122.69,24.93,-9.41,8.96,0.94,0.74,3,114.33,20.9,5.64,11.09,0.96,0.76,0,0,0,0,0,0,0,1,133.18,0,3.01,0,0.98,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.006,0.004,0.004,0.009,0.006,0.010,0.006,0.005,0.004,0.006,0.009,0.009,0.009,0.007,0.008,0.094,0.006,0.005,0.004,0.016,0.007,0.016,0.006,0.010,0.006,0.005,0.007,0.006,0.012,0.006,0.011,0.011,0.006,0.006,0.013,0.009,0.010,0.009,0.013,0.006,0.007,0.012,0.009,0.006,0.005,0.007,0.002,0.009,0.010,0.006,0.017,0.016,0.006,0.011,0.013,0.011,0.009,0.008,0.011,0.004,0.005,0.006,0.008,0.005,0.003,0.014,0.005,0.003,0.007,0.009,0.010,0.007,0.004,0.015,0.007,0.009,0.004,0.009,0.008,0.004,0.011,0.009,0.003,0.010,0.004,0.012,0.009,0.011,0.008,0.009,0.009,0.014,0.004,0.007,0.007,0.009,0.008,0.005,0.009,0.004,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,-16,0,0.92,0.65,,,,,,,,3,94.38,9.46,-3.41,13.72,0.92,0.71,4,121.92,33.53,9.98,6.87,0.97,0.72,1,92.23,0,9.36,0,0.98,0.83,5,114.31,23.38,-3.81,7.68,0.95,0.75,2,124,2,-0.23,0.23,0.93,0.68,6,120.47,17.49,-12.1,4.31,0.94,0.73,3,111.39,21.54,10.03,5.89,0.96,0.8,1,81.05,0,-9.23,0,0.98,0.73,,,,,,,,1,83.05,0,-2.07,0,0.98,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.009,0.006,0.011,0.006,0.004,0.006,0.005,0.005,0.006,0.005,0.013,0.005,0.009,0.009,0.005,0.126,0.004,0.007,0.004,0.007,0.008,0.005,0.016,0.004,0.006,0.005,0.007,0.006,0.007,0.014,0.011,0.007,0.006,0.008,0.009,0.009,0.012,0.013,0.004,0.005,0.008,0.011,0.004,0.004,0.013,0.006,0.003,0.003,0.006,0.006,0.011,0.009,0.014,0.010,0.005,0.008,0.009,0.004,0.014,0.008,0.013,0.009,0.015,0.004,0.009,0.009,0.006,0.007,0.008,0.008,0.010,0.006,0.006,0.005,0.007,0.005,0.004,0.013,0.011,0.005,0.014,0.007,0.006,0.009,0.009,0.007,0.011,0.005,0.003,0.005,0.010,0.008,0.009,0.006,0.004,0.006,0.005,0.005,0.003,0.007,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,91.51,20.32,-8.26,21.18,0.88,0.78,3,102.62,24.36,-1.49,4.4,0.92,0.69,1,158.69,0,12.37,0,0.88,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,84.72,0,-7.46,0,0.98,0.73,2,133.63,9.62,-9.39,8.92,0.98,0.75,1,94.09,0,-2.44,0,0.97,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.006,0.007,0.006,0.019,0.007,0.003,0.003,0.005,0.003,0.009,0.008,0.004,0.014,0.006,0.004,0.102,0.003,0.006,0.007,0.006,0.011,0.008,0.014,0.008,0.010,0.005,0.007,0.004,0.013,0.010,0.005,0.006,0.005,0.006,0.013,0.007,0.006,0.014,0.012,0.010,0.008,0.008,0.006,0.008,0.011,0.007,0.004,0.004,0.005,0.007,0.005,0.007,0.014,0.008,0.004,0.004,0.012,0.014,0.012,0.005,0.008,0.007,0.007,0.003,0.006,0.011,0.004,0.004,0.005,0.009,0.007,0.010,0.004,0.007,0.013,0.007,0.003,0.006,0.015,0.005,0.011,0.008,0.002,0.006,0.005,0.008,0.006,0.007,0.004,0.006,0.005,0.005,0.007,0.006,0.008,0.009,0.010,0.006,0.004,0.006,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132,0,16,0,0.8,0.66,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,106,24,-11,4,0.93,0.81,3,143.67,8.65,11.67,8.26,0.92,0.78,3,145,1.41,8,6.48,0.96,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,98.5,1.5,-14.5,2.5,0.96,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.006,0.010,0.007,0.012,0.005,0.003,0.003,0.006,0.004,0.003,0.008,0.010,0.006,0.007,0.014,0.007,0.097,0.003,0.005,0.007,0.006,0.013,0.007,0.011,0.003,0.012,0.005,0.004,0.006,0.009,0.011,0.003,0.013,0.019,0.010,0.004,0.004,0.005,0.004,0.005,0.002,0.007,0.004,0.012,0.014,0.005,0.009,0.014,0.012,0.005,0.008,0.004,0.010,0.004,0.003,0.011,0.004,0.004,0.009,0.009,0.008,0.004,0.009,0.007,0.005,0.004,0.005,0.006,0.003,0.004,0.004,0.005,0.008,0.005,0.014,0.007,0.015,0.011,0.004,0.010,0.009,0.006,0.005,0.005,0.004,0.005,0.005,0.009,0.003,0.015,0.003,0.004,0.005,0.007,0.005,0.005,0.014,0.009,0.009,0.008,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,117.71,0,9.78,0,0.8,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,0,-18.92,0,0.91,0.6,,,,,,,,,,,,,,,,,,,,,,2,138.82,0.45,8.29,4.15,0.92,0.75,,,,,,,,3,125.2,5.21,11.31,5.23,0.96,0.77,4,157.53,12.77,-12.43,4.3,0.96,0.78,0,0,0,0,0,0,0,2,83.11,6.16,-0.35,9.32,0.95,0.67,1,102.11,0,-14.17,0,0.96,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.006,0.005,0.016,0.012,0.004,0.006,0.004,0.008,0.003,0.003,0.008,0.009,0.006,0.007,0.009,0.011,0.092,0.004,0.009,0.009,0.014,0.013,0.009,0.010,0.003,0.007,0.004,0.008,0.008,0.004,0.010,0.010,0.011,0.009,0.016,0.007,0.005,0.004,0.007,0.005,0.007,0.007,0.006,0.011,0.012,0.010,0.006,0.012,0.012,0.005,0.009,0.007,0.004,0.008,0.011,0.006,0.005,0.004,0.005,0.022,0.005,0.003,0.007,0.023,0.008,0.006,0.003,0.007,0.005,0.010,0.008,0.005,0.013,0.003,0.004,0.007,0.009,0.009,0.008,0.011,0.008,0.007,0.008,0.006,0.008,0.004,0.011,0.008,0.003,0.007,0.011,0.003,0.008,0.007,0.005,0.009,0.006,0.007,0.009,0.005,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129.65,0,18.43,0,0.79,0.66,0,0,0,0,0,0,0,1,130.97,0,20.1,0,0.8,0.68,2,111.89,0.11,-6.26,15.26,0.96,0.65,6,106.81,23.66,2.12,11.15,0.94,0.69,4,95.45,13.37,-4.19,6.65,0.98,0.76,2,110.01,21.01,-5.67,6.67,0.97,0.81,3,137.75,7.77,11.95,7.83,0.93,0.78,4,125.76,22.97,8.38,7.47,0.96,0.75,6,127.99,14.09,5.64,9.9,0.96,0.8,4,139.67,8.37,-12.11,6.48,0.96,0.78,1,124,0,17,0,0.95,0.64,2,92.57,0.56,-1.23,1.85,0.95,0.67,2,91.13,8.16,-12.32,3.05,0.96,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.008,0.005,0.008,0.005,0.003,0.009,0.002,0.008,0.004,0.006,0.018,0.013,0.004,0.005,0.005,0.005,0.141,0.008,0.005,0.006,0.013,0.004,0.004,0.007,0.006,0.007,0.007,0.008,0.005,0.010,0.011,0.010,0.013,0.009,0.006,0.006,0.009,0.009,0.011,0.006,0.004,0.006,0.007,0.006,0.010,0.008,0.004,0.009,0.006,0.005,0.009,0.006,0.015,0.006,0.005,0.011,0.006,0.006,0.003,0.009,0.006,0.008,0.006,0.007,0.009,0.008,0.010,0.004,0.014,0.005,0.009,0.008,0.011,0.011,0.005,0.007,0.007,0.009,0.004,0.009,0.013,0.009,0.006,0.007,0.013,0.006,0.004,0.004,0.007,0.011,0.003,0.004,0.003,0.021,0.008,0.005,0.008,0.008,0.014,0.006,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3,95.5,16.38,0.41,9.26,0.94,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,142.88,12.15,-10.96,6.46,0.96,0.78,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.007,0.006,0.005,0.013,0.004,0.014,0.002,0.003,0.005,0.004,0.007,0.010,0.004,0.004,0.010,0.014,0.064,0.007,0.012,0.012,0.008,0.012,0.010,0.019,0.009,0.003,0.003,0.003,0.007,0.004,0.008,0.010,0.019,0.009,0.013,0.004,0.006,0.004,0.004,0.014,0.003,0.008,0.008,0.010,0.008,0.015,0.005,0.013,0.016,0.003,0.011,0.016,0.008,0.005,0.014,0.009,0.007,0.007,0.007,0.007,0.004,0.004,0.004,0.013,0.004,0.010,0.003,0.003,0.009,0.006,0.008,0.003,0.008,0.006,0.004,0.003,0.008,0.005,0.010,0.009,0.008,0.018,0.004,0.006,0.004,0.011,0.005,0.005,0.004,0.002,0.002,0.004,0.004,0.004,0.007,0.017,0.005,0.012,0.011,0.004,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,116.57,13.34,5.72,14.75,0.78,0.65,0,0,0,0,0,0,0,1,117.48,0,11.79,0,0.81,0.67,2,108.26,10.74,-14.23,1.23,0.88,0.63,6,102.23,19.8,-1.61,12.52,0.95,0.69,2,99.71,2.71,-0.72,10.28,0.98,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,148.64,2.6,-13.43,3.79,0.95,0.78,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.004,0.004,0.016,0.004,0.004,0.007,0.002,0.004,0.002,0.014,0.004,0.014,0.003,0.010,0.009,0.005,0.118,0.007,0.004,0.016,0.013,0.005,0.005,0.005,0.008,0.008,0.008,0.005,0.006,0.013,0.005,0.008,0.012,0.007,0.004,0.003,0.012,0.006,0.007,0.004,0.008,0.006,0.003,0.007,0.010,0.004,0.007,0.012,0.008,0.005,0.010,0.002,0.004,0.008,0.006,0.010,0.003,0.004,0.003,0.005,0.014,0.004,0.002,0.004,0.007,0.004,0.007,0.005,0.007,0.012,0.008,0.003,0.019,0.005,0.004,0.007,0.006,0.013,0.004,0.026,0.009,0.003,0.003,0.012,0.014,0.005,0.010,0.002,0.007,0.005,0.005,0.005,0.008,0.013,0.004,0.005,0.009,0.007,0.008,0.005,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,142.64,0,17.55,0,0.81,0.66,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,138.38,7.27,13.58,3.65,0.97,0.77,4,144.5,4.3,-14.14,6.88,0.95,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109.14,0,-13.78,0,0.96,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.004,0.004,0.009,0.010,0.003,0.006,0.003,0.004,0.003,0.005,0.005,0.007,0.011,0.004,0.003,0.012,0.080,0.008,0.010,0.012,0.008,0.008,0.013,0.017,0.005,0.004,0.004,0.007,0.009,0.006,0.012,0.015,0.014,0.012,0.020,0.004,0.009,0.008,0.003,0.012,0.004,0.008,0.004,0.007,0.012,0.017,0.008,0.007,0.009,0.005,0.006,0.013,0.007,0.006,0.012,0.007,0.007,0.003,0.004,0.005,0.009,0.004,0.006,0.004,0.008,0.009,0.010,0.006,0.005,0.006,0.007,0.003,0.007,0.004,0.009,0.009,0.011,0.005,0.009,0.011,0.013,0.019,0.015,0.008,0.004,0.009,0.007,0.005,0.006,0.003,0.004,0.003,0.008,0.005,0.004,0.006,0.005,0.012,0.010,0.004,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,6,6.5,10.5,0.84,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5,134.2,14.85,2,12.6,0.95,0.78,4,87.25,5.36,-14.25,4.26,0.93,0.77,1,119,0,-2,0,0.92,0.76,3,137.33,15.63,3.67,12.55,0.96,0.72,,,,,,,,1,98,0,7,0,1,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.003,0.006,0.003,0.012,0.011,0.008,0.014,0.003,0.009,0.004,0.004,0.005,0.004,0.007,0.008,0.006,0.003,0.096,0.005,0.007,0.010,0.005,0.006,0.007,0.011,0.004,0.006,0.005,0.009,0.004,0.008,0.010,0.005,0.007,0.012,0.013,0.007,0.006,0.013,0.007,0.007,0.010,0.005,0.006,0.004,0.018,0.012,0.003,0.006,0.007,0.004,0.012,0.005,0.006,0.011,0.006,0.009,0.007,0.011,0.004,0.009,0.007,0.006,0.005,0.004,0.011,0.008,0.004,0.005,0.008,0.010,0.008,0.004,0.011,0.006,0.004,0.008,0.002,0.014,0.015,0.012,0.006,0.007,0.006,0.005,0.009,0.012,0.006,0.011,0.008,0.010,0.007,0.016,0.006,0.009,0.008,0.004,0.010,0.009,0.006,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,107.49,5.95,6.06,11.12,0.83,0.7,1,139.13,0,2.47,0,0.81,0.74,,,,,,,,6,120.55,27.39,-4.79,14.26,0.93,0.72,5,118.89,15.41,3.14,9.01,0.94,0.78,0,0,0,0,0,0,0,6,120.95,22.2,-3.04,16.33,0.95,0.8,,,,,,,,1,134.09,0,-2.14,0,0.93,0.76,4,120.11,19.09,3.66,12.57,0.96,0.73,4,122.18,18.74,2.54,11.29,0.97,0.73,1,97.62,0,6.47,0,1,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.004,0.009,0.005,0.012,0.006,0.012,0.011,0.008,0.005,0.005,0.004,0.007,0.006,0.008,0.008,0.006,0.010,0.128,0.005,0.006,0.006,0.005,0.008,0.005,0.006,0.005,0.004,0.004,0.008,0.005,0.006,0.012,0.009,0.007,0.014,0.008,0.004,0.007,0.016,0.008,0.009,0.006,0.004,0.007,0.005,0.008,0.012,0.004,0.005,0.011,0.003,0.010,0.008,0.008,0.009,0.009,0.009,0.009,0.008,0.003,0.007,0.011,0.002,0.007,0.003,0.007,0.009,0.005,0.006,0.009,0.008,0.017,0.011,0.010,0.005,0.004,0.004,0.007,0.016,0.007,0.009,0.007,0.006,0.004,0.006,0.012,0.012,0.010,0.010,0.009,0.003,0.011,0.008,0.011,0.007,0.009,0.009,0.008,0.004,0.007,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,106.4,6.67,12.4,14.42,0.84,0.69,1,146.22,0,-3.14,0,0.84,0.75,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,139.4,12.74,-3.71,9.78,0.95,0.79,4,84.68,6.98,-21.09,9.89,0.93,0.77,1,127.06,0,-1.8,0,0.92,0.76,3,132.36,9.25,3.23,12.59,0.96,0.72,2,109.51,27.93,7.95,3.36,0.99,0.73,0,0,0,0,0,0,0,1,94.05,0,8.56,0,0.95,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.004,0.006,0.005,0.012,0.009,0.010,0.012,0.004,0.005,0.004,0.005,0.003,0.007,0.008,0.004,0.007,0.004,0.110,0.004,0.006,0.007,0.005,0.004,0.004,0.010,0.003,0.006,0.006,0.008,0.008,0.007,0.009,0.007,0.007,0.019,0.005,0.003,0.010,0.010,0.008,0.003,0.011,0.006,0.014,0.007,0.015,0.011,0.007,0.007,0.013,0.006,0.008,0.009,0.003,0.009,0.012,0.007,0.005,0.013,0.006,0.012,0.005,0.007,0.011,0.005,0.013,0.008,0.008,0.005,0.009,0.006,0.009,0.006,0.008,0.007,0.012,0.008,0.003,0.012,0.004,0.008,0.009,0.003,0.004,0.010,0.014,0.013,0.006,0.006,0.005,0.004,0.009,0.009,0.006,0.008,0.015,0.004,0.006,0.015,0.007,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110.54,4.89,11.02,6.05,0.83,0.68,1,130.14,0,2.64,0,0.85,0.76,2,116.52,21.94,5.74,14.04,0.96,0.67,2,146.78,4.79,-19.26,1.21,0.94,0.78,5,121.97,15.96,1.7,13.02,0.94,0.78,0,0,0,0,0,0,0,6,132.06,28.79,2.63,13.09,0.96,0.78,0,0,0,0,0,0,0,1,106.08,0,-2.16,0,0.93,0.75,2,120.2,8.38,15.18,0.15,0.96,0.69,4,116.08,16.67,5.09,10.27,0.97,0.73,1,111.29,0,4.12,0,0.99,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.006,0.009,0.005,0.013,0.005,0.007,0.008,0.003,0.011,0.005,0.006,0.006,0.007,0.005,0.009,0.007,0.006,0.112,0.011,0.007,0.005,0.008,0.005,0.004,0.008,0.007,0.004,0.003,0.006,0.010,0.007,0.015,0.005,0.005,0.014,0.008,0.004,0.007,0.011,0.012,0.005,0.009,0.009,0.011,0.008,0.009,0.009,0.007,0.006,0.007,0.010,0.007,0.011,0.010,0.011,0.005,0.007,0.019,0.011,0.004,0.004,0.012,0.004,0.006,0.006,0.006,0.005,0.008,0.010,0.006,0.008,0.011,0.005,0.010,0.006,0.004,0.008,0.004,0.011,0.019,0.009,0.020,0.006,0.004,0.005,0.010,0.008,0.006,0.005,0.005,0.003,0.014,0.015,0.011,0.008,0.009,0.003,0.008,0.009,0.005,24
